"cnpj","nome","cidade","estado","produto","valor","data_cadastro"
"1,575,816,000,106.00","AUTO POSTO RIO ARAGUAIA","PAU D'ARCO","TO","Gasolina C Comum","4.99","5/29/2019 13:54"
"1,575,816,000,106.00","AUTO POSTO RIO ARAGUAIA","PAU D'ARCO","TO","Diesel S500","3.8","5/29/2019 13:54"
"1,575,816,000,106.00","AUTO POSTO RIO ARAGUAIA","PAU D'ARCO","TO","Diesel S10","3.85","5/29/2019 13:54"
"1,828,198,000,169.00","POSTO DE SERVICOS CIDADE DO MAR","CAPAO DA CANOA","RS","Gasolina C Comum","4.39","7/22/2019 12:34"
"1,828,198,000,169.00","POSTO DE SERVICOS CIDADE DO MAR","CAPAO DA CANOA","RS","Diesel S500","3.44","9/20/2019 9:25"
"1,828,198,000,169.00","POSTO DE SERVICOS CIDADE DO MAR","CAPAO DA CANOA","RS","Diesel S10","3.49","9/20/2019 9:25"
"1,828,198,000,169.00","POSTO DE SERVICOS CIDADE DO MAR","CAPAO DA CANOA","RS","Etanol","4.69","4/21/2019 13:10"
"1,935,272,000,146.00","POSTOS MOURA","BELO JARDIM","PE","Gasolina C Comum","4.439","7/4/2018 15:28"
"1,935,272,000,146.00","POSTOS MOURA","BELO JARDIM","PE","Etanol","3.499","7/4/2018 15:28"
"1,935,272,000,146.00","POSTOS MOURA","BELO JARDIM","PE","Diesel S500","3.369","7/4/2018 15:28"
"1,935,272,000,146.00","POSTOS MOURA","BELO JARDIM","PE","Diesel S10","3.389","7/4/2018 15:28"
"2,056,229,000,173.00","POSTO FRANKLIN REZENDE LTDA","ARACUAI","MG","Gasolina C Comum","5.48","16/10/2018 09:58"
"2,056,229,000,173.00","POSTO FRANKLIN REZENDE LTDA","ARACUAI","MG","Etanol","3.48","16/10/2018 09:58"
"2,056,229,000,173.00","POSTO FRANKLIN REZENDE LTDA","ARACUAI","MG","Diesel S500","4.07","16/10/2018 09:58"
"2,056,229,000,173.00","POSTO FRANKLIN REZENDE LTDA","ARACUAI","MG","Diesel S10","4.12","16/10/2018 09:58"
"2,078,330,000,125.00","SAO MARTINHO AUTO SERVICE LTDA","CAMPINAS","SP","Gasolina C Comum","4.099","1/23/2019 14:56"
"2,078,330,000,125.00","SAO MARTINHO AUTO SERVICE LTDA","CAMPINAS","SP","Etanol","2.799","1/29/2019 10:54"
"2,078,330,000,125.00","SAO MARTINHO AUTO SERVICE LTDA","CAMPINAS","SP","Diesel S500","3.599","1/23/2019 14:56"
